"state","blinkit_stores","swiggy_stores","zepto_stores","total_stores","cities_covered"
"Maharashtra",290,155,194,639,42
"Uttar Pradesh",297,107,137,541,57
"Karnataka",191,135,175,501,29
"Telangana",104,91,118,313,14
"Haryana",149,49,78,276,21
"West Bengal",115,48,42,205,32
"Gujarat",112,40,44,196,29
"Tamil Nadu",85,104,0,189,42
"NCT",131,50,0,181,2
"Punjab",85,26,31,142,20
"Rajasthan",68,28,27,123,14
"Delhi",0,0,98,98,1
"Tamilnadu",0,0,97,97,5
"Madhya Pradesh",59,25,9,93,13
"Andhra Pradesh",42,39,8,89,21
"Kerala",15,60,13,88,22
"Uttarakhand",38,11,11,60,15
"Bihar",44,10,0,54,15
"Jharkhand",31,9,0,40,10
"Goa",17,14,0,31,17
"Chandigarh",18,5,4,27,1
"Odisha",13,14,0,27,5
"Assam",16,10,0,26,5
"Chhattisgarh",16,6,0,22,4
"Kashmir",10,0,0,10,2
"Himachal Pradesh",6,0,0,6,6
"Pondicherry",1,2,0,3,1
"Puducherry",0,0,2,2,1
"Dadra and Nagar Haveli",1,0,0,1,1
