"company","city","stores","rank_within_company"
"Blinkit","Delhi/NCR",340,1
"Blinkit","Bengaluru",151,2
"Blinkit","Mumbai",108,3
"Blinkit","Pune",72,4
"Blinkit","Hyderabad",72,4
"Blinkit","Kolkata",57,6
"Blinkit","Lucknow",48,7
"Blinkit","Ahmedabad",48,7
"Blinkit","Jaipur",38,9
"Blinkit","SAS Nagar",23,10
"Blinkit","Chennai",23,10
"Blinkit","Indore",19,12
"Blinkit","Chandigarh",18,13
"Blinkit","Nagpur",18,13
"Blinkit","Bhopal",17,15
"Blinkit","Vadodara",15,16
"Blinkit","Ludhiana",15,16
"Blinkit","Raipur",14,18
"Blinkit","Patna",13,19
"Blinkit","Loni",11,20
"Blinkit","Ranchi",10,21
"Blinkit","Nawabganj",10,21
"Blinkit","Kanpur",10,21
"Blinkit","Siliguri",10,21
"Blinkit","Surat",10,21
"Blinkit","Dehradun",9,26
"Blinkit","Meerut",9,26
"Blinkit","Jalandhar",9,26
"Blinkit","Basi",9,26
"Blinkit","Bhubaneswar",8,30
