city,Blinkit,Swiggy Instamart,Zepto,total_stores,district_key,urban_population,households,literacy_rate,service_workers,avg_household_size,opportunity_score,blinkit_opp_score,swiggy_instamart_opp_score,zepto_opp_score,blinkit_per_million,zepto_per_million
Bengaluru,151.0,105.0,159.0,415.0,BANGALORE,8749944.0,2180638.0,78.97,3348609.0,4.01,4140,11329,16246,10763,17.3,18.2
Mumbai,108.0,58.0,119.0,285.0,MUMBAI,3085411.0,674339.0,81.32,1159502.0,4.58,1917,5031,9294,4570,35.0,38.6
Hyderabad,72.0,57.0,112.0,241.0,HYDERABAD,3943323.0,849051.0,73.34,1032137.0,4.64,2573,8530,10736,5511,18.3,28.4
Pune,72.0,37.0,54.0,163.0,PUNE,5751182.0,1371531.0,79.11,1975942.0,4.19,6616,14863,28553,19728,12.5,9.4
Chennai,23.0,30.0,83.0,136.0,CHENNAI,4646732.0,1154982.0,81.27,1569950.0,4.02,6851,39111,30279,11174,4.9,17.9
Kolkata,57.0,33.0,42.0,132.0,KOLKATA,4496694.0,1024928.0,79.8,1506640.0,4.39,6150,14102,24056,19021,12.7,9.3
Lucknow,48.0,16.0,30.0,94.0,LUCKNOW,3038996.0,577510.0,73.26,733138.0,5.26,4454,8634,24887,13648,15.8,9.9
Ahmedabad,48.0,18.0,21.0,87.0,AHMADABAD,6063047.0,1281652.0,78.06,1873873.0,4.73,11369,20418,52656,45475,7.9,3.5
Jaipur,38.0,16.0,19.0,73.0,JAIPUR,3471847.0,669293.0,71.82,938758.0,5.19,6496,12325,28276,24034,10.9,5.5
Indore,19.0,8.0,9.0,36.0,INDORE,2427709.0,490140.0,74.56,754986.0,4.95,9877,18272,40605,36545,7.8,3.7
Nagpur,18.0,7.0,10.0,35.0,NAGPUR,3178759.0,701547.0,81.82,944537.0,4.53,15945,30211,71751,52182,5.7,3.1
Surat,10.0,6.0,13.0,29.0,SURAT,4849213.0,1063520.0,76.94,1823929.0,4.56,27276,74388,116896,58448,2.1,2.7
Chandigarh,18.0,5.0,4.0,27.0,CHANDIGARH,1026459.0,234033.0,76.52,367106.0,4.39,6396,9425,29847,35816,17.5,3.9
Ludhiana,15.0,5.0,7.0,27.0,LUDHIANA,2069708.0,436030.0,75.28,624279.0,4.75,11723,20515,54707,41030,7.2,3.4
Bhopal,17.0,8.0,0.0,25.0,BHOPAL,1917051.0,408747.0,73.34,543691.0,4.69,11530,16654,33308,299775,8.9,0.0
Mysuru,6.0,7.0,8.0,21.0,MYSORE,1245413.0,294016.0,77.69,386451.0,4.24,10383,32632,28553,25380,4.8,6.4
Raipur,14.0,7.0,0.0,21.0,RAIPUR,1483289.0,315647.0,73.08,434799.0,4.7,10485,15378,28834,230675,9.4,0.0
Vadodara,15.0,5.0,0.0,20.0,VADODARA,2065771.0,459506.0,80.57,611584.0,4.5,17630,23139,61704,370224,7.3,0.0
Patna,13.0,6.0,0.0,19.0,PATNA,2514590.0,429424.0,70.36,512270.0,5.86,15107,21582,43163,302143,5.2,0.0
Nashik,7.0,4.0,8.0,19.0,NASHIK,2597373.0,545577.0,77.73,756974.0,4.76,21204,53010,84815,47120,2.7,3.1
Prayagraj,8.0,3.0,6.0,17.0,ALLAHABAD,1472873.0,255722.0,73.38,302680.0,5.76,10425,20850,46912,26807,5.4,4.1
Jalandhar,9.0,2.0,6.0,17.0,JALANDHAR,1161171.0,247953.0,77.03,359812.0,4.68,10611,19100,63666,27285,7.8,5.2
Meerut,9.0,3.0,4.0,16.0,MEERUT,1759182.0,307431.0,64.74,395391.0,5.72,11708,19903,49758,39806,5.1,2.3
Varanasi,8.0,5.0,3.0,16.0,VARANASI,1597051.0,253184.0,69.04,322197.0,6.31,10282,19422,29133,43700,5.0,1.9
Coimbatore,5.0,3.0,7.0,15.0,COIMBATORE,2618940.0,715878.0,79.46,931152.0,3.66,35552,94806,142209,71105,1.9,2.7
Ranchi,10.0,4.0,0.0,14.0,RANCHI,1257335.0,243209.0,76.19,304594.0,5.17,12353,16846,37060,185301,8.0,0.0
