city,Blinkit,Swiggy Instamart,Zepto,total_stores,district_key,urban_population,households,literacy_rate,service_workers,avg_household_size,opportunity_score,blinkit_opp_score,swiggy_instamart_opp_score,zepto_opp_score
Delhi/NCR,340.0,135.0,235.0,710.0,NEW DELHI,142004.0,33208.0,80.41,55206.0,4.28,38,78,196,113
Bengaluru,151.0,105.0,159.0,415.0,BANGALORE,8749944.0,2180638.0,78.97,3348609.0,4.01,4140,11329,16246,10763
Mumbai,108.0,58.0,119.0,285.0,MUMBAI,3085411.0,674339.0,81.32,1159502.0,4.58,1917,5031,9294,4570
Hyderabad,72.0,57.0,112.0,241.0,HYDERABAD,3943323.0,849051.0,73.34,1032137.0,4.64,2573,8530,10736,5511
Pune,72.0,37.0,54.0,163.0,PUNE,5751182.0,1371531.0,79.11,1975942.0,4.19,6616,14863,28553,19728
Chennai,23.0,30.0,83.0,136.0,CHENNAI,4646732.0,1154982.0,81.27,1569950.0,4.02,6851,39111,30279,11174
Kolkata,57.0,33.0,42.0,132.0,KOLKATA,4496694.0,1024928.0,79.8,1506640.0,4.39,6150,14102,24056,19021
Lucknow,48.0,16.0,30.0,94.0,LUCKNOW,3038996.0,577510.0,73.26,733138.0,5.26,4454,8634,24887,13648
Ahmedabad,48.0,18.0,21.0,87.0,AHMADABAD,6063047.0,1281652.0,78.06,1873873.0,4.73,11369,20418,52656,45475
Jaipur,38.0,16.0,19.0,73.0,JAIPUR,3471847.0,669293.0,71.82,938758.0,5.19,6496,12325,28276,24034
SAS Nagar,23.0,10.0,12.0,45.0,S.A.S. NAGAR,0.0,,0.0,,,0,0,0,0
Indore,19.0,8.0,9.0,36.0,INDORE,2427709.0,490140.0,74.56,754986.0,4.95,9877,18272,40605,36545
Nagpur,18.0,7.0,10.0,35.0,NAGPUR,3178759.0,701547.0,81.82,944537.0,4.53,15945,30211,71751,52182
Surat,10.0,6.0,13.0,29.0,SURAT,4849213.0,1063520.0,76.94,1823929.0,4.56,27276,74388,116896,58448
Chandigarh,18.0,5.0,4.0,27.0,CHANDIGARH,1026459.0,234033.0,76.52,367106.0,4.39,6396,9425,29847,35816
Ludhiana,15.0,5.0,7.0,27.0,LUDHIANA,2069708.0,436030.0,75.28,624279.0,4.75,11723,20515,54707,41030
Bhopal,17.0,8.0,0.0,25.0,BHOPAL,1917051.0,408747.0,73.34,543691.0,4.69,11530,16654,33308,299775
Dehradun,9.0,5.0,9.0,23.0,DEHRADUN,941941.0,202889.0,78.74,265303.0,4.64,6656,15975,26626,15975
Kanpur,10.0,2.0,10.0,22.0,KANPUR,0.0,,0.0,,,0,0,0,0
Mysuru,6.0,7.0,8.0,21.0,MYSORE,1245413.0,294016.0,77.69,386451.0,4.24,10383,32632,28553,25380
Raipur,14.0,7.0,0.0,21.0,RAIPUR,1483289.0,315647.0,73.08,434799.0,4.7,10485,15378,28834,230675
Vadodara,15.0,5.0,0.0,20.0,VADODARA,2065771.0,459506.0,80.57,611584.0,4.5,17630,23139,61704,370224
Bhubaneswar,8.0,11.0,0.0,19.0,BHUBANESWAR,0.0,,0.0,,,0,0,0,0
Patna,13.0,6.0,0.0,19.0,PATNA,2514590.0,429424.0,70.36,512270.0,5.86,15107,21582,43163,302143
Nashik,7.0,4.0,8.0,19.0,NASHIK,2597373.0,545577.0,77.73,756974.0,4.76,21204,53010,84815,47120
Prayagraj,8.0,3.0,6.0,17.0,ALLAHABAD,1472873.0,255722.0,73.38,302680.0,5.76,10425,20850,46912,26807
Jalandhar,9.0,2.0,6.0,17.0,JALANDHAR,1161171.0,247953.0,77.03,359812.0,4.68,10611,19100,63666,27285
Meerut,9.0,3.0,4.0,16.0,MEERUT,1759182.0,307431.0,64.74,395391.0,5.72,11708,19903,49758,39806
Loni,11.0,5.0,0.0,16.0,LONI,0.0,,0.0,,,0,0,0,0
Varanasi,8.0,5.0,3.0,16.0,VARANASI,1597051.0,253184.0,69.04,322197.0,6.31,10282,19422,29133,43700
Coimbatore,5.0,3.0,7.0,15.0,COIMBATORE,2618940.0,715878.0,79.46,931152.0,3.66,35552,94806,142209,71105
Siliguri,10.0,5.0,0.0,15.0,SILIGURI,0.0,,0.0,,,0,0,0,0
Anekal,7.0,7.0,0.0,14.0,ANEKAL,0.0,,0.0,,,0,0,0,0
Udaipur,7.0,3.0,4.0,14.0,UDAIPUR,608426.0,127558.0,77.87,175594.0,4.77,6622,12416,24832,19866
Ranchi,10.0,4.0,0.0,14.0,RANCHI,1257335.0,243209.0,76.19,304594.0,5.17,12353,16846,37060,185301
Vengavasal,6.0,8.0,0.0,14.0,VENGAVASAL,0.0,,0.0,,,0,0,0,0
Gorakhpur,8.0,3.0,3.0,14.0,GORAKHPUR,836129.0,137961.0,73.4,165975.0,6.06,6751,11251,25316,25316
Amritsar,8.0,2.0,3.0,13.0,AMRITSAR,1334611.0,273905.0,74.58,400266.0,4.87,14591,22698,68093,51070
Artist Village,6.0,7.0,0.0,13.0,ARTIST VILLAGE,0.0,,0.0,,,0,0,0,0
Rajkot,7.0,4.0,2.0,13.0,RAJKOT,2214050.0,471625.0,75.93,670294.0,4.69,25579,44763,71621,119368
Thiruvananthapuram,2.0,11.0,0.0,13.0,THIRUVANANTHAPURAM,1771596.0,446914.0,85.68,488895.0,3.96,27351,127639,31910,382916
Malkajgiri,6.0,7.0,0.0,13.0,MALKAJGIRI,0.0,,0.0,,,0,0,0,0
Agra,7.0,2.0,4.0,13.0,AGRA,2024195.0,338775.0,63.21,435081.0,5.98,15296,26767,71380,42828
Basi,9.0,3.0,0.0,12.0,BASI,0.0,,0.0,,,0,0,0,0
Jamshedpur,8.0,4.0,0.0,12.0,JAMSHEDPUR,0.0,,0.0,,,0,0,0,0
Dombivli,6.0,6.0,0.0,12.0,DOMBIVLI,0.0,,0.0,,,0,0,0,0
Vijayawada,3.0,3.0,6.0,12.0,KRISHNA,1843660.0,489371.0,73.34,513849.0,3.77,27608,89726,89726,51272
Nawabganj,10.0,2.0,0.0,12.0,NAWABGANJ,0.0,,0.0,,,0,0,0,0
Bareilly,5.0,2.0,4.0,11.0,BAREILLY,1568409.0,275745.0,54.78,299063.0,5.69,12588,25176,50351,30211
Dispur,7.0,4.0,0.0,11.0,DISPUR,0.0,,0.0,,,0,0,0,0
Kota,5.0,3.0,3.0,11.0,KOTA,1176604.0,245150.0,71.56,314050.0,4.8,14619,29238,43857,43857
Patiala,4.0,3.0,3.0,10.0,PATIALA,763280.0,158036.0,75.72,227160.0,4.83,10879,23933,29916,29916
Guwahati,7.0,3.0,0.0,10.0,GUWAHATI,0.0,,0.0,,,0,0,0,0
Jabalpur,7.0,3.0,0.0,10.0,JABALPUR,1440034.0,301662.0,77.68,394937.0,4.77,21303,29291,58583,234331
Cochin,5.0,5.0,0.0,10.0,COCHIN,0.0,,0.0,,,0,0,0,0
Warangal,3.0,4.0,3.0,10.0,WARANGAL,992333.0,241082.0,73.32,262216.0,4.12,16069,44190,35352,44190
Aurangabad,7.0,3.0,0.0,10.0,AURANGABAD,236854.0,36862.0,66.69,36808.0,6.43,2235,3073,6146,24583
Aurangabad,7.0,3.0,0.0,10.0,AURANGABAD,1620170.0,330965.0,74.71,435943.0,4.9,22479,30908,61816,247264
Kochi,0.0,0.0,10.0,10.0,KOCHI,0.0,,0.0,,,0,0,0,0
Gaddi Annaram,4.0,5.0,0.0,9.0,GADDI ANNARAM,0.0,,0.0,,,0,0,0,0
Panipat,4.0,3.0,2.0,9.0,PANIPAT,555085.0,113764.0,69.12,155698.0,4.88,7863,15727,19658,26211
Airoli,6.0,3.0,0.0,9.0,AIROLI,0.0,,0.0,,,0,0,0,0
Guntur,3.0,4.0,2.0,9.0,GUNTUR,1652738.0,419145.0,70.34,462678.0,3.94,29483,73707,58965,98276
Lal Bahadur Nagar,4.0,5.0,0.0,9.0,LAL BAHADUR NAGAR,0.0,,0.0,,,0,0,0,0
Elur,2.0,7.0,0.0,9.0,ELUR,0.0,,0.0,,,0,0,0,0
Jammu,8.0,0.0,0.0,8.0,JAMMU,765013.0,154908.0,80.03,231786.0,4.94,13775,13775,123973,123973
Panvel,4.0,4.0,0.0,8.0,PANVEL,0.0,,0.0,,,0,0,0,0
Kalyan,6.0,2.0,0.0,8.0,KALYAN,0.0,,0.0,,,0,0,0,0
Shivaji Nagar,5.0,3.0,0.0,8.0,SHIVAJI NAGAR,0.0,,0.0,,,0,0,0,0
Rohtak,6.0,2.0,0.0,8.0,ROHTAK,446164.0,89538.0,75.07,112814.0,4.98,7468,9602,22405,67216
Yanamalakuduru,4.0,4.0,0.0,8.0,YANAMALAKUDURU,0.0,,0.0,,,0,0,0,0
Trichur,2.0,6.0,0.0,8.0,TRICHUR,0.0,,0.0,,,0,0,0,0
Uppal Kalan,4.0,4.0,0.0,8.0,UPPAL KALAN,0.0,,0.0,,,0,0,0,0
Madurai,1.0,3.0,4.0,8.0,MADURAI,1846801.0,479851.0,80.43,599459.0,3.85,42883,192972,96486,77189
Aligarh,5.0,3.0,0.0,8.0,ALIGARH,1217191.0,204337.0,58.3,246270.0,5.96,13236,19855,29782,119128
Aluva,2.0,6.0,0.0,8.0,ALUVA,0.0,,0.0,,,0,0,0,0
Alipur,6.0,1.0,0.0,7.0,ALIPUR,0.0,,0.0,,,0,0,0,0
Khadki,4.0,3.0,0.0,7.0,KHADKI,0.0,,0.0,,,0,0,0,0
Poonamalle,3.0,4.0,0.0,7.0,POONAMALLE,0.0,,0.0,,,0,0,0,0
Hosur,5.0,1.0,1.0,7.0,HOSUR,0.0,,0.0,,,0,0,0,0
Yarada,5.0,2.0,0.0,7.0,YARADA,0.0,,0.0,,,0,0,0,0
Haridwar,5.0,0.0,2.0,7.0,HARIDWAR,0.0,,0.0,,,0,0,0,0
Gandhi Nagar,4.0,3.0,0.0,7.0,GANDHI NAGAR,0.0,,0.0,,,0,0,0,0
Danapur,5.0,2.0,0.0,7.0,DANAPUR,0.0,,0.0,,,0,0,0,0
Haora,5.0,1.0,0.0,6.0,HAORA,3074144.0,669902.0,76.41,814595.0,4.59,73125,85312,255936,511872
Perungudi,3.0,3.0,0.0,6.0,PERUNGUDI,0.0,,0.0,,,0,0,0,0
Karnal,3.0,1.0,2.0,6.0,KARNAL,454810.0,93490.0,72.59,115523.0,4.86,9695,16966,33932,22621
Injambakkam,3.0,3.0,0.0,6.0,INJAMBAKKAM,0.0,,0.0,,,0,0,0,0
George Town,4.0,2.0,0.0,6.0,GEORGE TOWN,0.0,,0.0,,,0,0,0,0
Guduvancheri,4.0,2.0,0.0,6.0,GUDUVANCHERI,0.0,,0.0,,,0,0,0,0
Ambala,2.0,2.0,2.0,6.0,AMBALA,500774.0,106632.0,78.16,140200.0,4.7,11906,27781,27781,27781
Muzaffarpur,5.0,1.0,0.0,6.0,MUZAFFARPUR,473437.0,88570.0,69.45,94569.0,5.35,8787,10252,30756,61512
Vadodra,0.0,0.0,6.0,6.0,VADODRA,0.0,,0.0,,,0,0,0,0
Vepagunta,4.0,2.0,0.0,6.0,VEPAGUNTA,0.0,,0.0,,,0,0,0,0
Kozhikode,1.0,5.0,0.0,6.0,KOZHIKODE,2072572.0,462007.0,85.21,492507.0,4.49,56239,196838,65613,393676
Moradabad,4.0,2.0,0.0,6.0,MORADABAD,1573623.0,273407.0,54.44,319387.0,5.76,21263,29769,49614,148843
Karimnagar,1.0,2.0,3.0,6.0,KARIMNAGAR,951225.0,232601.0,70.28,242904.0,4.09,23353,81736,54491,40868
Jhansi,4.0,2.0,0.0,6.0,JHANSI,833484.0,151936.0,72.17,168797.0,5.49,15665,21930,36551,109652
Madipakkam,2.0,3.0,0.0,5.0,MADIPAKKAM,0.0,,0.0,,,0,0,0,0
