city,Blinkit,Swiggy Instamart,Zepto,total_stores
Delhi/NCR,340.0,135.0,235.0,710.0
Bengaluru,151.0,105.0,159.0,415.0
Mumbai,108.0,58.0,119.0,285.0
Hyderabad,72.0,57.0,112.0,241.0
Pune,72.0,37.0,54.0,163.0
Chennai,23.0,30.0,83.0,136.0
Kolkata,57.0,33.0,42.0,132.0
Lucknow,48.0,16.0,30.0,94.0
Ahmedabad,48.0,18.0,21.0,87.0
Jaipur,38.0,16.0,19.0,73.0
SAS Nagar,23.0,10.0,12.0,45.0
Indore,19.0,8.0,9.0,36.0
Nagpur,18.0,7.0,10.0,35.0
Surat,10.0,6.0,13.0,29.0
Chandigarh,18.0,5.0,4.0,27.0
Ludhiana,15.0,5.0,7.0,27.0
Bhopal,17.0,8.0,0.0,25.0
Dehradun,9.0,5.0,9.0,23.0
Kanpur,10.0,2.0,10.0,22.0
Mysuru,6.0,7.0,8.0,21.0
Raipur,14.0,7.0,0.0,21.0
Vadodara,15.0,5.0,0.0,20.0
Bhubaneswar,8.0,11.0,0.0,19.0
Patna,13.0,6.0,0.0,19.0
Nashik,7.0,4.0,8.0,19.0
Prayagraj,8.0,3.0,6.0,17.0
Jalandhar,9.0,2.0,6.0,17.0
Meerut,9.0,3.0,4.0,16.0
Loni,11.0,5.0,0.0,16.0
Varanasi,8.0,5.0,3.0,16.0
Coimbatore,5.0,3.0,7.0,15.0
Siliguri,10.0,5.0,0.0,15.0
Anekal,7.0,7.0,0.0,14.0
Udaipur,7.0,3.0,4.0,14.0
Ranchi,10.0,4.0,0.0,14.0
Vengavasal,6.0,8.0,0.0,14.0
Gorakhpur,8.0,3.0,3.0,14.0
Amritsar,8.0,2.0,3.0,13.0
Artist Village,6.0,7.0,0.0,13.0
Rajkot,7.0,4.0,2.0,13.0
Thiruvananthapuram,2.0,11.0,0.0,13.0
Malkajgiri,6.0,7.0,0.0,13.0
Agra,7.0,2.0,4.0,13.0
Basi,9.0,3.0,0.0,12.0
Jamshedpur,8.0,4.0,0.0,12.0
Dombivli,6.0,6.0,0.0,12.0
Vijayawada,3.0,3.0,6.0,12.0
Nawabganj,10.0,2.0,0.0,12.0
Bareilly,5.0,2.0,4.0,11.0
Dispur,7.0,4.0,0.0,11.0
Kota,5.0,3.0,3.0,11.0
Patiala,4.0,3.0,3.0,10.0
Guwahati,7.0,3.0,0.0,10.0
Jabalpur,7.0,3.0,0.0,10.0
Cochin,5.0,5.0,0.0,10.0
Warangal,3.0,4.0,3.0,10.0
Aurangabad,7.0,3.0,0.0,10.0
Kochi,0.0,0.0,10.0,10.0
Gaddi Annaram,4.0,5.0,0.0,9.0
Panipat,4.0,3.0,2.0,9.0
Airoli,6.0,3.0,0.0,9.0
Guntur,3.0,4.0,2.0,9.0
Lal Bahadur Nagar,4.0,5.0,0.0,9.0
Elur,2.0,7.0,0.0,9.0
Jammu,8.0,0.0,0.0,8.0
Panvel,4.0,4.0,0.0,8.0
Kalyan,6.0,2.0,0.0,8.0
Shivaji Nagar,5.0,3.0,0.0,8.0
Rohtak,6.0,2.0,0.0,8.0
Yanamalakuduru,4.0,4.0,0.0,8.0
Trichur,2.0,6.0,0.0,8.0
Uppal Kalan,4.0,4.0,0.0,8.0
Madurai,1.0,3.0,4.0,8.0
Aligarh,5.0,3.0,0.0,8.0
Aluva,2.0,6.0,0.0,8.0
Alipur,6.0,1.0,0.0,7.0
Khadki,4.0,3.0,0.0,7.0
Poonamalle,3.0,4.0,0.0,7.0
Hosur,5.0,1.0,1.0,7.0
Yarada,5.0,2.0,0.0,7.0
Haridwar,5.0,0.0,2.0,7.0
Gandhi Nagar,4.0,3.0,0.0,7.0
Danapur,5.0,2.0,0.0,7.0
Haora,5.0,1.0,0.0,6.0
Perungudi,3.0,3.0,0.0,6.0
Karnal,3.0,1.0,2.0,6.0
Injambakkam,3.0,3.0,0.0,6.0
George Town,4.0,2.0,0.0,6.0
Guduvancheri,4.0,2.0,0.0,6.0
Ambala,2.0,2.0,2.0,6.0
Muzaffarpur,5.0,1.0,0.0,6.0
Vadodra,0.0,0.0,6.0,6.0
Vepagunta,4.0,2.0,0.0,6.0
Kozhikode,1.0,5.0,0.0,6.0
Moradabad,4.0,2.0,0.0,6.0
Karimnagar,1.0,2.0,3.0,6.0
