city,Blinkit,Swiggy Instamart,Zepto,total_stores,district_key,urban_population,households,literacy_rate,service_workers,avg_household_size,opportunity_score,blinkit_opp_score,swiggy_instamart_opp_score,zepto_opp_score
Bhopal,17.0,8.0,0.0,25.0,BHOPAL,1917051.0,408747.0,73.34,543691.0,4.69,11530,16654,33308,299775
Raipur,14.0,7.0,0.0,21.0,RAIPUR,1483289.0,315647.0,73.08,434799.0,4.7,10485,15378,28834,230675
Vadodara,15.0,5.0,0.0,20.0,VADODARA,2065771.0,459506.0,80.57,611584.0,4.5,17630,23139,61704,370224
Patna,13.0,6.0,0.0,19.0,PATNA,2514590.0,429424.0,70.36,512270.0,5.86,15107,21582,43163,302143
Ranchi,10.0,4.0,0.0,14.0,RANCHI,1257335.0,243209.0,76.19,304594.0,5.17,12353,16846,37060,185301
Thiruvananthapuram,2.0,11.0,0.0,13.0,THIRUVANANTHAPURAM,1771596.0,446914.0,85.68,488895.0,3.96,27351,127639,31910,382916
Jabalpur,7.0,3.0,0.0,10.0,JABALPUR,1440034.0,301662.0,77.68,394937.0,4.77,21303,29291,58583,234331
Aurangabad,7.0,3.0,0.0,10.0,AURANGABAD,1620170.0,330965.0,74.71,435943.0,4.9,22479,30908,61816,247264
Jammu,8.0,0.0,0.0,8.0,JAMMU,765013.0,154908.0,80.03,231786.0,4.94,13775,13775,123973,123973
Aligarh,5.0,3.0,0.0,8.0,ALIGARH,1217191.0,204337.0,58.3,246270.0,5.96,13236,19855,29782,119128
Haora,5.0,1.0,0.0,6.0,HAORA,3074144.0,669902.0,76.41,814595.0,4.59,73125,85312,255936,511872
Kozhikode,1.0,5.0,0.0,6.0,KOZHIKODE,2072572.0,462007.0,85.21,492507.0,4.49,56239,196838,65613,393676
Moradabad,4.0,2.0,0.0,6.0,MORADABAD,1573623.0,273407.0,54.44,319387.0,5.76,21263,29769,49614,148843
Jhansi,4.0,2.0,0.0,6.0,JHANSI,833484.0,151936.0,72.17,168797.0,5.49,15665,21930,36551,109652
Palakkad,0.0,2.0,3.0,5.0,PALAKKAD,676810.0,154935.0,82.83,178629.0,4.37,21389,128333,42778,32083
Gwalior,2.0,3.0,0.0,5.0,GWALIOR,1273792.0,239351.0,73.63,320765.0,5.32,29372,58745,44059,176234
