"platform","service_rating","orders","customers","pct_of_platform","avg_order_freq","refund_rate_pct"
"Blinkit",1,5141,3899,15.38,12.05,100.00
"Blinkit",2,10212,6031,30.55,12.12,100.00
"Blinkit",3,2599,2235,7.78,12.12,0.00
"Blinkit",4,2634,2306,7.88,12.13,0.00
"Blinkit",5,12838,6877,38.41,12.11,0.00
"JioMart",1,5000,3837,15.09,12.13,100.00
"JioMart",2,10178,6103,30.72,12.10,100.00
"JioMart",3,2514,2177,7.59,12.02,0.00
"JioMart",4,2571,2227,7.76,12.13,0.00
"JioMart",5,12864,6792,38.83,12.13,0.00
"Swiggy Instamart",1,5126,3931,15.32,12.07,100.00
"Swiggy Instamart",2,10162,6099,30.38,12.11,100.00
"Swiggy Instamart",3,2591,2274,7.75,12.21,0.00
"Swiggy Instamart",4,2584,2233,7.73,12.18,0.00
"Swiggy Instamart",5,12986,6915,38.82,12.09,0.00
