"company","city","orders","avg_delivery_min","p90_delivery_min","avg_efficiency","p90_rank","efficiency_rank"
"Blinkit","Delhi",9820,5.77,7.80,1.288,1,1
"Blinkit","Hyderabad",9843,14.12,17.79,0.510,2,8
"Blinkit","Kolkata",10006,14.13,17.82,0.511,3,7
"Blinkit","Pune",9909,14.16,17.85,0.515,4,4
"Blinkit","Amritsar",9935,14.19,17.88,0.516,5,2
"Blinkit","Gurgaon",10080,14.20,17.90,0.516,6,2
"Blinkit","Noida",9776,14.16,17.90,0.514,6,5
"Blinkit","Chennai",9880,14.13,17.91,0.512,8,6
"Blinkit","Bengluru",9989,15.20,18.90,0.484,9,9
"Blinkit","Mumbai",9970,16.13,19.83,0.448,10,10
"Blinkit","Jaipur",9981,19.15,22.87,0.383,11,11
"Blinkit","Haridwar",9734,26.14,29.81,0.283,12,12
"Swiggy Instamart","Delhi",9817,6.23,8.82,1.183,1,1
"Swiggy Instamart","Chennai",9780,15.13,18.79,0.481,2,6
"Swiggy Instamart","Gurgaon",9921,15.10,18.81,0.476,3,8
"Swiggy Instamart","Kolkata",9989,15.17,18.82,0.484,4,2
"Swiggy Instamart","Hyderabad",10027,15.13,18.83,0.478,5,7
"Swiggy Instamart","Amritsar",9934,15.18,18.84,0.482,6,4
"Swiggy Instamart","Noida",9939,15.17,18.84,0.483,6,3
"Swiggy Instamart","Pune",9838,15.16,18.89,0.482,8,4
"Swiggy Instamart","Bengluru",9864,16.10,19.86,0.449,9,9
"Swiggy Instamart","Mumbai",9829,17.15,20.81,0.428,10,10
"Swiggy Instamart","Jaipur",9705,20.16,23.85,0.366,11,11
"Swiggy Instamart","Haridwar",9882,27.18,30.85,0.276,12,12
"Zepto","Delhi",9960,5.00,5.00,1.542,1,1
"Zepto","Chennai",9904,8.28,11.81,0.872,2,2
"Zepto","Noida",10073,8.29,11.85,0.871,3,5
"Zepto","Amritsar",9794,8.32,11.86,0.868,4,8
"Zepto","Kolkata",9829,8.30,11.88,0.872,5,2
"Zepto","Hyderabad",9927,8.32,11.88,0.871,5,5
"Zepto","Gurgaon",9825,8.31,11.89,0.870,7,7
"Zepto","Pune",9859,8.35,11.90,0.872,8,2
"Zepto","Bengluru",9974,9.20,12.87,0.781,9,9
"Zepto","Mumbai",9864,10.15,13.88,0.706,10,10
"Zepto","Jaipur",9680,13.14,16.84,0.548,11,11
"Zepto","Haridwar",9910,20.14,23.83,0.365,12,12
