"company","city","orders","avg_delivery_min","avg_distance_km","avg_efficiency_ratio","p90_delivery_min","slow_orders","slow_order_pct","avg_rating","speed_rank"
"Blinkit","Delhi",9820,5.77,7.70,1.288,7.80,0,0.00,3.65,1
"Blinkit","Hyderabad",9843,14.12,7.68,0.510,17.79,0,0.00,3.02,2
"Blinkit","Kolkata",10006,14.13,7.71,0.511,17.82,0,0.00,3.54,3
"Blinkit","Chennai",9880,14.13,7.72,0.512,17.91,0,0.00,3.56,4
"Blinkit","Noida",9776,14.16,7.77,0.514,17.90,0,0.00,3.57,5
"Blinkit","Pune",9909,14.16,7.79,0.515,17.85,0,0.00,3.55,6
"Blinkit","Amritsar",9935,14.19,7.83,0.516,17.88,0,0.00,3.57,7
"Blinkit","Gurgaon",10080,14.20,7.82,0.516,17.90,0,0.00,3.55,8
"Blinkit","Bengluru",9989,15.20,7.82,0.484,18.90,0,0.00,3.95,9
"Blinkit","Mumbai",9970,16.13,7.68,0.448,19.83,0,0.00,3.72,10
"Blinkit","Jaipur",9981,19.15,7.75,0.383,22.87,0,0.00,3.45,11
"Blinkit","Haridwar",9734,26.14,7.73,0.283,29.81,812,8.34,3.57,12
"Swiggy Instamart","Delhi",9817,6.23,7.73,1.183,8.82,0,0.00,3.36,1
"Swiggy Instamart","Gurgaon",9921,15.10,7.67,0.476,18.81,0,0.00,3.28,2
"Swiggy Instamart","Hyderabad",10027,15.13,7.70,0.478,18.83,0,0.00,2.74,3
"Swiggy Instamart","Chennai",9780,15.13,7.74,0.481,18.79,0,0.00,3.27,4
"Swiggy Instamart","Pune",9838,15.16,7.78,0.482,18.89,0,0.00,3.26,5
"Swiggy Instamart","Noida",9939,15.17,7.78,0.483,18.84,0,0.00,3.27,6
"Swiggy Instamart","Kolkata",9989,15.17,7.80,0.484,18.82,0,0.00,3.29,7
"Swiggy Instamart","Amritsar",9934,15.18,7.79,0.482,18.84,0,0.00,3.29,8
"Swiggy Instamart","Bengluru",9864,16.10,7.69,0.449,19.86,0,0.00,3.71,9
"Swiggy Instamart","Mumbai",9829,17.15,7.77,0.428,20.81,0,0.00,3.45,10
"Swiggy Instamart","Jaipur",9705,20.16,7.77,0.366,23.85,0,0.00,3.20,11
"Swiggy Instamart","Haridwar",9882,27.18,7.81,0.276,30.85,1744,17.65,3.30,12
"Zepto","Delhi",9960,5.00,7.71,1.542,5.00,0,0.00,3.29,1
"Zepto","Chennai",9904,8.28,7.73,0.872,11.81,0,0.00,3.18,2
"Zepto","Noida",10073,8.29,7.73,0.871,11.85,0,0.00,3.21,3
"Zepto","Kolkata",9829,8.30,7.75,0.872,11.88,0,0.00,3.18,4
"Zepto","Gurgaon",9825,8.31,7.75,0.870,11.89,0,0.00,3.21,5
"Zepto","Amritsar",9794,8.32,7.73,0.868,11.86,0,0.00,3.19,6
"Zepto","Hyderabad",9927,8.32,7.76,0.871,11.88,0,0.00,2.66,7
"Zepto","Pune",9859,8.35,7.80,0.872,11.90,0,0.00,3.20,8
"Zepto","Bengluru",9974,9.20,7.74,0.781,12.87,0,0.00,3.61,9
"Zepto","Mumbai",9864,10.15,7.71,0.706,13.88,0,0.00,3.38,10
"Zepto","Jaipur",9680,13.14,7.71,0.548,16.84,0,0.00,3.12,11
"Zepto","Haridwar",9910,20.14,7.73,0.365,23.83,0,0.00,3.20,12
