pca_x,pca_y,cluster,segment_label,company,order_value
-1.5236,1.5627,2,Price-Sensitive,Swiggy Instamart,1162.08525
-1.4887,-0.5676,1,At-Risk,Blinkit,897.1776000000001
0.6379,0.7548,3,Price-Sensitive,Zepto,402.36525
2.0667,-0.9114,0,Loyal Customers,Blinkit,155.85200000000003
0.6679,-0.5357,0,Loyal Customers,Zepto,474.3375
3.2347,-0.6051,0,Loyal Customers,Blinkit,111.876
0.2451,2.268,3,Price-Sensitive,Blinkit,1340.874
-1.6052,-0.9198,1,At-Risk,Zepto,680.1270000000001
-1.841,-1.191,1,At-Risk,Blinkit,523.84
-0.1414,2.6257,3,Price-Sensitive,Blinkit,1608.9318
1.2824,-1.3211,0,Loyal Customers,Swiggy Instamart,100.52399999999996
-0.176,1.592,3,Price-Sensitive,Swiggy Instamart,1033.6409999999998
-1.2851,1.404,2,Price-Sensitive,Blinkit,1067.7558
1.822,-0.8622,0,Loyal Customers,Swiggy Instamart,158.13299999999998
0.7329,-0.4835,0,Loyal Customers,Zepto,553.0790000000001
1.4355,-0.4841,0,Loyal Customers,Swiggy Instamart,505.8185
-0.4878,-1.3725,1,At-Risk,Zepto,257.49350000000004
0.2875,-0.4272,0,Loyal Customers,Swiggy Instamart,657.4114999999999
-0.288,-0.278,2,Price-Sensitive,Swiggy Instamart,50.0
-2.3405,0.9701,2,Price-Sensitive,Zepto,1037.4052499999998
-0.6526,-1.2023,1,At-Risk,Zepto,361.391
-1.6052,-1.1999,1,At-Risk,Zepto,478.9175
1.6111,-0.6839,0,Loyal Customers,Blinkit,306.04760000000005
0.0846,-1.427,1,At-Risk,Zepto,198.0765
-0.8263,-0.4307,1,At-Risk,Swiggy Instamart,844.6635
0.3752,-0.1968,0,Loyal Customers,Blinkit,755.0172000000001
-0.5869,0.7127,2,Price-Sensitive,Blinkit,581.6772000000001
-0.8711,-1.2642,1,At-Risk,Zepto,385.1085
-0.3333,-1.7586,1,At-Risk,Blinkit,50.0
-1.2037,0.1686,2,Price-Sensitive,Blinkit,388.6248000000001
-1.3336,1.121,2,Price-Sensitive,Blinkit,934.7724
0.1219,-0.9925,1,At-Risk,Blinkit,388.6824
2.4859,-0.8244,0,Loyal Customers,Zepto,75.69900000000001
-0.7297,-1.6824,1,At-Risk,Swiggy Instamart,177.192
-0.4551,-0.3124,1,At-Risk,Blinkit,867.8664000000001
1.8083,-0.2622,0,Loyal Customers,Swiggy Instamart,492.683
-2.1444,0.3221,2,Price-Sensitive,Zepto,601.6905
-0.9861,1.3386,2,Price-Sensitive,Blinkit,1028.718
-0.0461,-0.0869,3,Price-Sensitive,Zepto,50.0
-0.6334,0.445,2,Price-Sensitive,Zepto,465.0345
-1.9587,-0.9936,1,At-Risk,Zepto,762.1754999999999
-0.393,0.386,2,Price-Sensitive,Blinkit,398.0694
-0.7523,0.4693,1,At-Risk,Zepto,1271.3105
-0.6876,0.8358,2,Price-Sensitive,Swiggy Instamart,639.9795
1.1594,-0.3889,0,Loyal Customers,Swiggy Instamart,547.308
0.6784,-0.3336,0,Loyal Customers,Zepto,662.7495000000001
-0.414,-1.6366,1,At-Risk,Swiggy Instamart,129.8005
0.0306,1.6807,3,Price-Sensitive,Zepto,1049.02875
-1.4479,-0.1898,2,Price-Sensitive,Zepto,170.39925
-0.5938,0.5921,2,Price-Sensitive,Zepto,471.90975
1.4957,-0.3626,0,Loyal Customers,Swiggy Instamart,459.11099999999993
-0.4392,2.3487,3,Price-Sensitive,Swiggy Instamart,1511.4854999999998
-0.5769,-0.7772,1,At-Risk,Blinkit,619.0364
0.8639,-0.8785,0,Loyal Customers,Zepto,281.5575
1.6003,-0.721,0,Loyal Customers,Swiggy Instamart,251.771
-2.072,0.9747,2,Price-Sensitive,Zepto,984.72975
-1.1296,0.0247,2,Price-Sensitive,Swiggy Instamart,373.27275
0.0908,-1.555,1,At-Risk,Blinkit,93.4172
-0.3195,-1.6297,1,At-Risk,Swiggy Instamart,106.268
-2.1658,-0.201,1,At-Risk,Zepto,1201.2125
0.2819,-0.0192,3,Price-Sensitive,Swiggy Instamart,50.0
0.4295,1.2431,3,Price-Sensitive,Swiggy Instamart,772.9762499999999
-0.3922,-0.3748,1,At-Risk,Swiggy Instamart,810.4739999999999
1.9528,-0.6654,0,Loyal Customers,Swiggy Instamart,244.3865
-1.2289,2.5202,2,Price-Sensitive,Blinkit,1725.3924000000002
-0.0129,0.4496,3,Price-Sensitive,Zepto,321.53925000000004
-1.5577,-0.8864,1,At-Risk,Zepto,690.48
-2.3947,1.2636,2,Price-Sensitive,Swiggy Instamart,1168.0192499999998
2.3333,-0.9153,0,Loyal Customers,Blinkit,50.0
-2.2242,0.3334,2,Price-Sensitive,Zepto,690.5115000000001
0.8129,1.8649,3,Price-Sensitive,Blinkit,1024.2252
0.8638,-0.0402,0,Loyal Customers,Zepto,761.1575
-1.6601,-1.3277,1,At-Risk,Zepto,527.142
1.2885,0.2816,3,Price-Sensitive,Blinkit,50.0
-0.5692,-1.3298,1,At-Risk,Zepto,265.9625
0.4333,-0.9125,0,Loyal Customers,Blinkit,386.0352
1.268,-1.3254,0,Loyal Customers,Zepto,75.06900000000002
0.5328,1.0944,3,Price-Sensitive,Zepto,636.5205
0.533,0.2495,3,Price-Sensitive,Blinkit,179.0244
1.646,-0.0836,0,Loyal Customers,Blinkit,698.2632
1.545,-1.1185,0,Loyal Customers,Blinkit,50.0
1.1398,1.367,3,Price-Sensitive,Swiggy Instamart,744.43575
-2.7271,1.8558,2,Price-Sensitive,Zepto,1613.313
2.4013,0.7235,3,Price-Sensitive,Swiggy Instamart,138.29700000000005
-1.0211,0.4829,2,Price-Sensitive,Blinkit,584.2332
-1.9182,-0.1779,1,At-Risk,Swiggy Instamart,1231.8249999999998
2.1854,1.5124,3,Price-Sensitive,Blinkit,561.6012000000001
0.6002,-0.3115,0,Loyal Customers,Blinkit,643.5504000000001
-0.8765,-1.8274,1,At-Risk,Blinkit,50.0
-0.8622,-0.8562,1,At-Risk,Zepto,597.7545
0.0057,-1.0164,1,At-Risk,Blinkit,402.416
0.2724,-0.23,1,At-Risk,Swiggy Instamart,759.5255
-0.6552,-1.3662,1,At-Risk,Swiggy Instamart,355.6145
-1.2052,-0.5271,1,At-Risk,Blinkit,847.7892
0.0275,0.7741,3,Price-Sensitive,Swiggy Instamart,564.76125
-1.8503,-0.4604,1,At-Risk,Zepto,968.767
-1.826,-0.8041,1,At-Risk,Zepto,777.9635000000001
0.7253,0.2196,3,Price-Sensitive,Zepto,50.0
-1.2319,-1.1663,1,At-Risk,Zepto,460.194
2.011,1.17,3,Price-Sensitive,Zepto,425.4615
-0.138,-1.641,1,At-Risk,Swiggy Instamart,50.0
-0.4957,-0.1465,2,Price-Sensitive,Zepto,126.693
-1.5062,1.112,2,Price-Sensitive,Blinkit,954.696
0.2597,-1.379,1,At-Risk,Swiggy Instamart,164.09349999999998
-1.7765,-1.0169,1,At-Risk,Zepto,707.1350000000001
-1.1464,-1.1,1,At-Risk,Blinkit,485.0388
-1.0379,-1.7615,1,At-Risk,Zepto,78.72900000000001
0.0345,-1.6103,1,At-Risk,Swiggy Instamart,50.0
-0.4832,-1.0846,1,At-Risk,Blinkit,403.7656
-0.1598,0.1871,1,At-Risk,Zepto,1072.6820000000002
1.1662,1.7226,3,Price-Sensitive,Blinkit,839.6297999999999
-0.1178,-1.3821,1,At-Risk,Zepto,220.2815
2.04,-0.5593,0,Loyal Customers,Blinkit,252.156
1.8788,0.713,0,Loyal Customers,Swiggy Instamart,1009.953
-0.2489,0.7765,3,Price-Sensitive,Zepto,561.47175
-0.8976,0.6654,2,Price-Sensitive,Blinkit,653.2452000000001
-2.803,1.3662,2,Price-Sensitive,Swiggy Instamart,1366.377
1.7844,1.223,3,Price-Sensitive,Swiggy Instamart,463.42725
1.7607,0.9224,3,Price-Sensitive,Blinkit,396.71760000000006
0.0772,-0.5965,1,At-Risk,Blinkit,627.0456000000001
0.199,2.4723,3,Price-Sensitive,Blinkit,1499.4576000000002
0.4398,0.185,0,Loyal Customers,Blinkit,934.8696
-0.7289,1.9599,2,Price-Sensitive,Blinkit,1277.0898
0.1386,1.0732,3,Price-Sensitive,Blinkit,722.8764000000001
0.9916,-1.3418,0,Loyal Customers,Swiggy Instamart,50.0
-0.0612,-1.0156,1,At-Risk,Blinkit,373.4424
-1.739,3.6164,2,Price-Sensitive,Zepto,2393.5995000000003
-0.7687,-0.6826,1,At-Risk,Blinkit,731.322
0.3953,0.0909,0,Loyal Customers,Zepto,935.7345
0.0997,-0.4599,0,Loyal Customers,Zepto,663.4905
-1.0134,0.9254,2,Price-Sensitive,Blinkit,761.3466000000001
-0.4381,0.9504,2,Price-Sensitive,Blinkit,723.5892000000001
1.238,1.7742,3,Price-Sensitive,Swiggy Instamart,920.99475
-1.3356,0.6108,2,Price-Sensitive,Zepto,663.1935000000001
-1.032,2.5916,2,Price-Sensitive,Blinkit,1687.5168000000003
0.5895,0.1793,0,Loyal Customers,Blinkit,927.092
-1.1673,1.5101,2,Price-Sensitive,Swiggy Instamart,1156.33125
-0.7072,-1.2952,1,At-Risk,Zepto,298.2
-0.7396,1.0513,2,Price-Sensitive,Zepto,754.31475
1.491,-1.1275,0,Loyal Customers,Blinkit,50.0
-2.2046,1.6021,2,Price-Sensitive,Blinkit,1366.308
0.224,0.7939,0,Loyal Customers,Blinkit,1358.0696
-1.0295,0.5622,2,Price-Sensitive,Blinkit,657.7158000000001
0.5879,-0.9121,0,Loyal Customers,Blinkit,335.826
-1.7989,0.2358,2,Price-Sensitive,Zepto,523.0185
1.9713,-0.7538,0,Loyal Customers,Blinkit,241.8632000000001
-0.2209,0.8448,3,Price-Sensitive,Blinkit,661.4418000000001
-1.0511,-1.8196,1,At-Risk,Zepto,80.86600000000001
0.2864,-0.0358,3,Price-Sensitive,Swiggy Instamart,50.0
-1.3249,-0.9093,1,At-Risk,Swiggy Instamart,693.6255
-1.9973,-0.3066,1,At-Risk,Swiggy Instamart,1076.9319999999998
-2.1832,1.2955,2,Price-Sensitive,Blinkit,1231.7508000000005
0.8529,-0.1021,0,Loyal Customers,Zepto,763.6965000000001
-1.6414,1.475,2,Price-Sensitive,Zepto,1240.95825
0.2069,0.2833,3,Price-Sensitive,Zepto,183.42075
-0.1577,-0.8711,1,At-Risk,Swiggy Instamart,525.2164999999999
0.7664,-0.9177,0,Loyal Customers,Swiggy Instamart,330.18049999999994
0.3082,-0.614,0,Loyal Customers,Swiggy Instamart,587.8995
-2.829,1.2299,2,Price-Sensitive,Blinkit,1267.4832
0.273,0.6702,3,Price-Sensitive,Zepto,468.5535
0.7714,1.2926,3,Price-Sensitive,Zepto,672.49575
-1.4932,0.1469,2,Price-Sensitive,Swiggy Instamart,472.443
0.1236,-1.5948,1,At-Risk,Swiggy Instamart,50.0
1.4446,-0.3955,0,Loyal Customers,Swiggy Instamart,491.127
1.7065,-1.1134,0,Loyal Customers,Zepto,50.0
-0.144,-0.1914,0,Loyal Customers,Swiggy Instamart,917.6655
0.6777,-1.5691,0,Loyal Customers,Swiggy Instamart,50.0
-0.9093,-1.8528,1,At-Risk,Swiggy Instamart,50.0
-0.6136,-0.5347,1,At-Risk,Zepto,724.1129999999999
-0.9422,1.2418,2,Price-Sensitive,Blinkit,963.7056
1.2252,-0.4116,0,Loyal Customers,Swiggy Instamart,510.278
2.09,-0.4999,0,Loyal Customers,Blinkit,336.42800000000005
-1.08,0.9582,2,Price-Sensitive,Swiggy Instamart,891.0832500000001
0.4187,-0.0761,0,Loyal Customers,Zepto,782.991
0.3133,2.1455,3,Price-Sensitive,Blinkit,1201.0158
1.2556,1.7153,3,Price-Sensitive,Blinkit,824.3694
-2.2455,0.2312,2,Price-Sensitive,Zepto,572.2605
-0.1234,-1.1346,1,At-Risk,Zepto,409.76700000000005
-0.6583,0.2136,2,Price-Sensitive,Blinkit,373.8636
1.0087,-1.5291,0,Loyal Customers,Swiggy Instamart,50.0
-1.8412,-1.8926,1,At-Risk,Zepto,214.1685
1.5459,-0.0516,0,Loyal Customers,Blinkit,633.042
-1.4387,2.4959,2,Price-Sensitive,Zepto,1707.072
-0.8925,0.0331,1,At-Risk,Swiggy Instamart,1110.7585
-1.097,-1.3551,1,At-Risk,Zepto,339.31550000000004
-0.2623,-1.0974,1,At-Risk,Zepto,408.0615
0.5709,0.0553,3,Price-Sensitive,Swiggy Instamart,50.0
-0.1172,-1.1476,1,At-Risk,Swiggy Instamart,344.2755
0.5629,-0.5497,0,Loyal Customers,Swiggy Instamart,537.3604999999999
-0.2778,-1.4385,1,At-Risk,Swiggy Instamart,223.873
0.1879,0.3009,3,Price-Sensitive,Blinkit,276.8418
-1.9848,0.4429,2,Price-Sensitive,Zepto,693.2835
1.4792,1.8847,3,Price-Sensitive,Swiggy Instamart,888.47325
-2.4894,0.8294,2,Price-Sensitive,Zepto,963.1755
0.0003,0.6423,3,Price-Sensitive,Swiggy Instamart,417.75675
0.6661,-1.0091,0,Loyal Customers,Zepto,256.9325
1.3877,-0.0596,0,Loyal Customers,Swiggy Instamart,697.8675
-0.2086,-0.7706,1,At-Risk,Zepto,532.602
-0.1318,-1.7149,1,At-Risk,Swiggy Instamart,50.0
0.5614,1.6677,3,Price-Sensitive,Zepto,953.37225
-0.4004,-0.9928,1,At-Risk,Swiggy Instamart,499.169
-0.0045,2.7328,3,Price-Sensitive,Blinkit,1612.2240000000002
1.4892,0.7054,3,Price-Sensitive,Blinkit,219.68820000000005
1.2177,-0.4897,0,Loyal Customers,Swiggy Instamart,504.6685
1.7347,0.1811,0,Loyal Customers,Blinkit,712.314
-0.619,-1.1478,1,At-Risk,Blinkit,472.6188
0.0251,-1.2096,1,At-Risk,Blinkit,308.6856
-0.4683,0.9303,2,Price-Sensitive,Swiggy Instamart,744.0442499999999
-0.6138,-1.7176,1,At-Risk,Zepto,101.472
0.3165,-1.2676,1,At-Risk,Blinkit,184.92560000000003
-0.9711,-1.1963,1,At-Risk,Swiggy Instamart,426.843
0.8333,-0.0396,0,Loyal Customers,Zepto,718.6830000000001
-0.0792,0.9827,3,Price-Sensitive,Zepto,645.0600000000002
-2.0247,-0.6818,2,Price-Sensitive,Blinkit,50.0
0.6079,1.075,3,Price-Sensitive,Zepto,552.0562500000001
1.6733,-1.1385,0,Loyal Customers,Swiggy Instamart,50.0
-0.2669,-1.5054,1,At-Risk,Zepto,176.811
0.0886,-1.1,1,At-Risk,Blinkit,333.97800000000007
-1.4193,3.6958,2,Price-Sensitive,Zepto,2376.678
0.1399,-1.1179,1,At-Risk,Swiggy Instamart,298.356
0.5447,0.2778,0,Loyal Customers,Blinkit,1017.3276
-1.5566,-1.1909,1,At-Risk,Zepto,581.1034999999999
0.6652,-1.2775,0,Loyal Customers,Blinkit,218.742
-0.961,0.7741,2,Price-Sensitive,Zepto,722.4525
-0.0283,-1.0556,1,At-Risk,Blinkit,366.7248
-1.0313,2.7179,2,Price-Sensitive,Zepto,1769.38875
-1.1499,-1.6576,1,At-Risk,Blinkit,251.532
-1.5862,1.7293,2,Price-Sensitive,Zepto,1292.64975
-0.4825,-0.7243,1,At-Risk,Zepto,668.5500000000001
-0.1788,0.0973,1,At-Risk,Zepto,1013.4765
0.616,1.5264,3,Price-Sensitive,Swiggy Instamart,864.1042499999999
-0.7029,-0.9197,1,At-Risk,Zepto,549.5615
0.1376,-1.2083,1,At-Risk,Zepto,285.4445
1.5291,1.1773,3,Price-Sensitive,Swiggy Instamart,457.5735
0.9144,2.7392,3,Price-Sensitive,Blinkit,1504.9344
-1.6988,-0.1375,2,Price-Sensitive,Blinkit,313.82640000000004
0.9498,-0.7538,0,Loyal Customers,Swiggy Instamart,368.4255
-0.8756,1.4144,2,Price-Sensitive,Zepto,1023.6165
0.4594,-1.2579,0,Loyal Customers,Zepto,166.2675
-0.0497,2.1757,3,Price-Sensitive,Blinkit,1347.966
-2.107,1.0052,2,Price-Sensitive,Zepto,1012.5045
0.2781,0.1736,3,Price-Sensitive,Blinkit,185.50440000000003
-0.3942,0.3768,2,Price-Sensitive,Swiggy Instamart,399.83775
1.1218,-0.6557,0,Loyal Customers,Swiggy Instamart,431.3385
-0.9901,-1.9409,1,At-Risk,Zepto,50.0
1.6352,0.5249,0,Loyal Customers,Swiggy Instamart,973.185
0.0059,-0.9933,1,At-Risk,Swiggy Instamart,439.515
2.0137,-0.676,0,Loyal Customers,Blinkit,270.408
1.1852,-0.1868,0,Loyal Customers,Swiggy Instamart,635.5835
-0.027,2.1304,3,Price-Sensitive,Swiggy Instamart,1214.37
-0.4976,-1.7438,1,At-Risk,Swiggy Instamart,55.0865
0.9466,0.1878,3,Price-Sensitive,Swiggy Instamart,50.0
0.8126,0.4456,3,Price-Sensitive,Blinkit,189.2322
-0.0261,-0.3379,1,At-Risk,Swiggy Instamart,805.9454999999999
-0.8377,1.6466,2,Price-Sensitive,Zepto,1133.52975
-0.9297,1.2662,2,Price-Sensitive,Zepto,913.059
-2.6126,0.5199,2,Price-Sensitive,Zepto,888.68625
-2.0918,0.0161,2,Price-Sensitive,Blinkit,469.0824
0.76,0.715,0,Loyal Customers,Zepto,1187.928
0.9654,1.4362,3,Price-Sensitive,Zepto,696.792
0.6795,0.1694,0,Loyal Customers,Blinkit,913.4076
-0.0996,-1.0326,1,At-Risk,Swiggy Instamart,387.803
2.0634,-1.1052,0,Loyal Customers,Swiggy Instamart,57.91649999999999
-1.5297,0.5534,2,Price-Sensitive,Swiggy Instamart,632.3032499999999
0.231,2.0285,3,Price-Sensitive,Swiggy Instamart,1224.5257499999998
-0.5296,-0.3268,1,At-Risk,Swiggy Instamart,870.803
1.9777,-0.9448,0,Loyal Customers,Swiggy Instamart,113.94449999999998
0.8967,-0.1495,0,Loyal Customers,Blinkit,681.8384000000001
2.5451,2.1667,3,Price-Sensitive,Swiggy Instamart,923.84475
0.9862,0.3247,0,Loyal Customers,Swiggy Instamart,988.2895
-0.3748,-0.7606,1,At-Risk,Zepto,588.42
0.2121,-0.8487,0,Loyal Customers,Swiggy Instamart,444.7195
1.1112,0.1318,3,Price-Sensitive,Blinkit,50.0
-0.7409,-0.2725,2,Price-Sensitive,Zepto,94.54725
1.0402,2.9101,3,Price-Sensitive,Swiggy Instamart,1590.0877499999997
-0.8276,2.7493,2,Price-Sensitive,Zepto,1737.2055000000005
1.0818,-0.6438,0,Loyal Customers,Swiggy Instamart,366.25999999999993
-2.1045,0.2941,2,Price-Sensitive,Zepto,644.8207500000001
-1.1428,0.5698,2,Price-Sensitive,Swiggy Instamart,611.478
-0.8295,-1.511,1,At-Risk,Zepto,279.039
-1.2787,-0.6678,1,At-Risk,Zepto,805.7965
0.8559,-1.0645,0,Loyal Customers,Blinkit,209.3816
0.199,-0.5176,1,At-Risk,Swiggy Instamart,725.2384999999999
-0.1283,-0.008,2,Price-Sensitive,Zepto,86.86424999999997
1.5639,-0.1729,0,Loyal Customers,Blinkit,563.4236000000001
-1.6637,0.2138,2,Price-Sensitive,Swiggy Instamart,597.954
-1.571,0.6153,2,Price-Sensitive,Swiggy Instamart,757.71
-1.4867,-0.5338,1,At-Risk,Blinkit,861.0752000000001
-1.4317,-0.838,1,At-Risk,Swiggy Instamart,722.088
1.2351,0.558,0,Loyal Customers,Blinkit,1023.5916
-1.0245,-0.3571,1,At-Risk,Swiggy Instamart,964.528
1.8442,-0.1765,0,Loyal Customers,Blinkit,500.9888
0.2324,-0.6589,1,At-Risk,Blinkit,545.6028000000001
-1.4639,0.673,2,Price-Sensitive,Blinkit,720.4950000000001
1.9918,-0.9728,0,Loyal Customers,Swiggy Instamart,50.0
-0.2937,-0.4979,1,At-Risk,Blinkit,699.3648
0.3887,0.7888,3,Price-Sensitive,Swiggy Instamart,486.8332499999999
1.4069,-0.0804,0,Loyal Customers,Zepto,759.8055
0.1399,2.2593,3,Price-Sensitive,Swiggy Instamart,1362.9225
-1.2384,-1.8927,1,At-Risk,Zepto,50.0
1.6459,-1.0387,0,Loyal Customers,Blinkit,88.0848
1.2052,-0.5099,0,Loyal Customers,Blinkit,485.4276
-0.3697,1.0323,2,Price-Sensitive,Blinkit,793.56
-1.794,-0.5547,1,At-Risk,Zepto,887.4075
1.2435,-0.1837,0,Loyal Customers,Swiggy Instamart,631.3974999999999
-0.6738,-1.4648,1,At-Risk,Blinkit,257.6772
-0.6598,-1.5834,1,At-Risk,Zepto,133.114
0.5764,2.085,3,Price-Sensitive,Blinkit,1167.5502
1.7653,0.473,3,Price-Sensitive,Swiggy Instamart,142.74974999999998
0.8451,1.1283,3,Price-Sensitive,Zepto,577.5840000000001
-1.5747,0.7275,2,Price-Sensitive,Blinkit,780.4188000000001
-1.4611,1.9373,2,Price-Sensitive,Zepto,1439.361
1.5344,1.2703,3,Price-Sensitive,Blinkit,557.5044
-1.0214,0.6583,2,Price-Sensitive,Blinkit,623.1816
