delivery_cost_per_km,discount_rate_pct,est_margin_per_order,margin_pct
20,20.0,327.29,53.61
20,25.0,322.71,52.86
20,30.0,318.14,52.11
20,35.0,313.56,51.36
20,40.0,308.98,50.61
20,45.0,304.4,49.86
20,50.0,299.82,49.11
25,20.0,288.55,47.26
25,25.0,283.97,46.51
25,30.0,279.39,45.76
25,35.0,274.81,45.01
25,40.0,270.23,44.26
25,45.0,265.65,43.51
25,50.0,261.07,42.76
30,20.0,249.8,40.92
30,25.0,245.22,40.17
30,30.0,240.64,39.42
30,35.0,236.06,38.67
30,40.0,231.48,37.92
30,45.0,226.9,37.17
30,50.0,222.33,36.42
32,20.0,234.3,38.38
32,25.0,229.72,37.63
32,30.0,225.14,36.88
32,35.0,220.56,36.13
32,40.0,215.98,35.38
32,45.0,211.41,34.63
32,50.0,206.83,33.88
35,20.0,211.05,34.57
35,25.0,206.47,33.82
35,30.0,201.89,33.07
35,35.0,197.31,32.32
35,40.0,192.74,31.57
35,45.0,188.16,30.82
35,50.0,183.58,30.07
40,20.0,172.3,28.22
40,25.0,167.72,27.47
40,30.0,163.14,26.72
40,35.0,158.57,25.97
40,40.0,153.99,25.22
40,45.0,149.41,24.47
40,50.0,144.83,23.72
